index,dur,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin
35200,0.03137,46.0,48.0,2854.0,30622.0,2964.615965,31.0,29.0,712017.875,7646796.5,7.0,17.0,0.689044,0.657064,60.522872,59.233211,255.0,177149849.0,2338045151.0,255.0
58539,1.056885,10.0,6.0,2516.0,268.0,14.192651,254.0,252.0,17144.72266,1695.548706,2.0,1.0,117.431667,193.185203,6798.134514,360.64775,255.0,3635010616.0,1895312263.0,255.0
52202,0.22055,8.0,8.0,364.0,530.0,68.011789,62.0,252.0,11571.07227,16830.65039,1.0,2.0,31.507143,30.361428,1639.493667,39.688965,255.0,236237584.0,2051732388.0,255.0
23321,9e-06,2.0,0.0,114.0,0.0,111111.1072,254.0,0.0,50666664.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10097,7.85664,40.0,0.0,10880.0,0.0,4.963954,254.0,0.0,10801.56445,0.0,0.0,0.0,201.452313,0.0,234.329656,0.0,0.0,0.0,0.0,0.0
8720,0.982379,24.0,20.0,9572.0,1716.0,43.771293,62.0,252.0,74708.4375,13282.04297,9.0,8.0,42.71213,50.690789,2446.474011,61.064668,255.0,1919482067.0,1172917455.0,255.0
49315,0.178546,10.0,6.0,924.0,268.0,84.011965,254.0,252.0,37278.91016,10036.62988,2.0,1.0,18.428222,34.400602,994.227249,60.044238,255.0,2589740726.0,2886780850.0,255.0
54108,4e-06,2.0,0.0,200.0,0.0,142857.1409,254.0,0.0,114285712.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9882,1.2e-05,2.0,0.0,222.0,0.0,83333.33039,254.0,0.0,74000000.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11515,1.180302,10.0,8.0,1308.0,354.0,14.403093,254.0,252.0,7984.396973,2101.157227,2.0,1.0,131.042,154.405,8204.585786,212.396578,255.0,2239850708.0,2157601874.0,255.0
